"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"NZL","EDUADULT","BUPPSRY","PC_25_64","A","2020",19.066416,
"NZL","EDUADULT","TRY","PC_25_64","A","2020",40.121872,
"NZL","EDUADULT","UPPSRY","PC_25_64","A","2020",40.81171,
"NOR","EDUADULT","BUPPSRY","PC_25_64","A","2020",17.518663,
"NOR","EDUADULT","TRY","PC_25_64","A","2020",45.273285,
"NOR","EDUADULT","UPPSRY","PC_25_64","A","2020",37.20805,
"POL","EDUADULT","BUPPSRY","PC_25_64","A","2020",6.7551556,
"POL","EDUADULT","TRY","PC_25_64","A","2020",32.875156,
"POL","EDUADULT","UPPSRY","PC_25_64","A","2020",60.369686,
"PRT","EDUADULT","BUPPSRY","PC_25_64","A","2020",44.603264,
"PRT","EDUADULT","TRY","PC_25_64","A","2020",28.164339,
"PRT","EDUADULT","UPPSRY","PC_25_64","A","2020",27.232395,
"SVK","EDUADULT","BUPPSRY","PC_25_64","A","2020",7.5463114,
"SVK","EDUADULT","TRY","PC_25_64","A","2020",26.773348,
"SVK","EDUADULT","UPPSRY","PC_25_64","A","2020",65.680344,
"ESP","EDUADULT","BUPPSRY","PC_25_64","A","2020",37.134796,
"ESP","EDUADULT","TRY","PC_25_64","A","2020",39.68692,
"ESP","EDUADULT","UPPSRY","PC_25_64","A","2020",23.178282,
"SWE","EDUADULT","BUPPSRY","PC_25_64","A","2020",16.099548,
"SWE","EDUADULT","TRY","PC_25_64","A","2020",44.608795,
"SWE","EDUADULT","UPPSRY","PC_25_64","A","2020",39.291656,
"CHE","EDUADULT","BUPPSRY","PC_25_64","A","2020",10.719828,
"CHE","EDUADULT","TRY","PC_25_64","A","2020",45.277538,
"CHE","EDUADULT","UPPSRY","PC_25_64","A","2020",44.002632,
"GBR","EDUADULT","BUPPSRY","PC_25_64","A","2020",18.349808,
"GBR","EDUADULT","TRY","PC_25_64","A","2020",49.39045,
"GBR","EDUADULT","UPPSRY","PC_25_64","A","2020",32.259743,
"USA","EDUADULT","BUPPSRY","PC_25_64","A","2020",8.2770815,
"USA","EDUADULT","TRY","PC_25_64","A","2020",50.055275,
"USA","EDUADULT","UPPSRY","PC_25_64","A","2020",41.667641,
"BRA","EDUADULT","BUPPSRY","PC_25_64","A","2020",42.992283,
"BRA","EDUADULT","TRY","PC_25_64","A","2020",20.136629,
"BRA","EDUADULT","UPPSRY","PC_25_64","A","2020",36.871086,
"COL","EDUADULT","BUPPSRY","PC_25_64","A","2020",41.220875,
"COL","EDUADULT","TRY","PC_25_64","A","2020",24.594643,
"COL","EDUADULT","UPPSRY","PC_25_64","A","2020",34.184483,
"EST","EDUADULT","BUPPSRY","PC_25_64","A","2020",9.3462172,
"EST","EDUADULT","TRY","PC_25_64","A","2020",42.209454,
"EST","EDUADULT","UPPSRY","PC_25_64","A","2020",48.444328,
"IDN","EDUADULT","BUPPSRY","PC_25_64","A","2020",58.65654,
"IDN","EDUADULT","TRY","PC_25_64","A","2020",12.792151,
"IDN","EDUADULT","UPPSRY","PC_25_64","A","2020",28.55131,
"ISR","EDUADULT","BUPPSRY","PC_25_64","A","2020",11.989373,
"ISR","EDUADULT","TRY","PC_25_64","A","2020",50.12072,
"ISR","EDUADULT","UPPSRY","PC_25_64","A","2020",37.889904,
"LVA","EDUADULT","BUPPSRY","PC_25_64","A","2020",10.527256,
"LVA","EDUADULT","TRY","PC_25_64","A","2020",37.833885,
"LVA","EDUADULT","UPPSRY","PC_25_64","A","2020",51.638859,
"SVN","EDUADULT","BUPPSRY","PC_25_64","A","2020",9.7609425,
"SVN","EDUADULT","TRY","PC_25_64","A","2020",35.881027,
"SVN","EDUADULT","UPPSRY","PC_25_64","A","2020",54.358028,
"ZAF","EDUADULT","BUPPSRY","PC_25_64","A","2020",52.348087,
"ZAF","EDUADULT","TRY","PC_25_64","A","2020",15.839705,
"ZAF","EDUADULT","UPPSRY","PC_25_64","A","2020",31.812206,
"OAVG","EDUADULT","BUPPSRY","PC_25_64","A","2020",19.580855,
"OAVG","EDUADULT","TRY","PC_25_64","A","2020",39.015687,
"OAVG","EDUADULT","UPPSRY","PC_25_64","A","2020",41.403457,
"LTU","EDUADULT","BUPPSRY","PC_25_64","A","2020",6.3598828,
"LTU","EDUADULT","TRY","PC_25_64","A","2020",44.13818,
"LTU","EDUADULT","UPPSRY","PC_25_64","A","2020",49.501938,
"CRI","EDUADULT","BUPPSRY","PC_25_64","A","2020",57.331299,
"CRI","EDUADULT","TRY","PC_25_64","A","2020",25.112001,
"CRI","EDUADULT","UPPSRY","PC_25_64","A","2020",17.5567,
